tid,ticket,symbol,type,volume,entry_price,exit_price,entry_time,exit_time,profit_usd,pips,mae_pips,mfe_pips,close_reason,strategy
T_292040537,292040537,BITCOIN,SELL,1.0,104646.21000,104611.30000,2025-11-09T23:29:16,2025-11-09T23:30:46,-34.91,34.9,0.0,0.0,SL,Unknown
T_292053031,292053031,EURUSD,SELL,0.5,1.15530,1.15536,2025-11-10T02:43:52,2025-11-10T02:45:12,3.00,-0.6,0.0,0.0,,S3
T_292053032,292053032,GBPUSD,SELL,0.5,1.31428,1.31437,2025-11-10T02:43:52,2025-11-10T02:45:26,4.50,-0.9,0.0,0.0,,S3
T_292053452,292053452,EURUSD,SELL,0.5,1.15541,1.15538,2025-11-10T02:45:40,2025-11-10T02:46:09,-1.50,0.3,0.0,0.0,,S3
T_292053741,292053741,EURUSD,SELL,0.5,1.15552,1.15563,2025-11-10T02:46:44,2025-11-10T02:47:06,5.50,-1.1,0.0,0.0,TP,S3
