timestamp,pair,count,max_limit,status
2025-11-17 08:30:00,EURUSD,0,1,AVAILABLE
2025-11-17 08:30:00,EURGBP,0,1,AVAILABLE
2025-11-17 08:30:00,GBPUSD,0,1,AVAILABLE
2025-11-17 08:30:00,USDJPY,0,1,AVAILABLE
2025-11-17 08:30:00,EURJPY,0,1,AVAILABLE
2025-11-17 08:30:00,GBPJPY,0,1,AVAILABLE
2025-11-17 08:30:00,AUDJPY,0,1,AVAILABLE
2025-11-17 08:30:00,CADJPY,0,1,AVAILABLE
2025-11-17 08:30:00,EURCHF,0,1,AVAILABLE
2025-11-17 08:30:00,EURNZD,0,1,AVAILABLE
2025-11-17 08:30:00,NZDCHF,0,1,AVAILABLE
2025-11-17 08:30:00,GBPAUD,0,1,AVAILABLE
2025-11-17 08:30:00,AUDCAD,0,1,AVAILABLE
2025-11-17 08:30:00,USDCHF,0,1,AVAILABLE
2025-11-17 08:30:00,GBPCHF,0,1,AVAILABLE
2025-11-17 08:30:00,XAUUSD,0,1,AVAILABLE
2025-11-17 08:30:00,AUDUSD,0,1,AVAILABLE
2025-11-17 08:30:00,AUDCHF,0,1,AVAILABLE
2025-11-17 08:30:00,AUDNZD,0,1,AVAILABLE
2025-11-17 08:30:00,CADCHF,0,1,AVAILABLE
2025-11-17 08:30:00,EURAUD,0,1,AVAILABLE
2025-11-17 08:30:00,EURCAD,0,1,AVAILABLE
2025-11-17 08:30:00,GBPCAD,0,1,AVAILABLE
2025-11-17 08:30:00,GBPNZD,0,1,AVAILABLE
2025-11-17 08:30:00,NZDCAD,0,1,AVAILABLE
2025-11-17 08:30:00,NZDJPY,0,1,AVAILABLE
2025-11-17 08:30:00,NZDUSD,0,1,AVAILABLE
2025-11-17 08:30:00,USDCAD,0,1,AVAILABLE
2025-11-17 08:30:00,CHFJPY,0,1,AVAILABLE
2025-11-17 08:30:00,BITCOIN,0,1,AVAILABLE
