timestamp,event_key,currency,date,event,forecast,actual,affect,retry_count,nid,nid_affect,nid_affect_executed,nid_tp,nid_sl
2025-11-13 16:42:58,EUR_2025-11-03_04:10,EUR,"2025, November 03, 04:10",(Austria) Unemployment Rate,7.2,7.2,NEUTRAL,0,1,0,0,0,0
2025-11-13 16:42:58,GBP_2025-11-03_04:30,GBP,"2025, November 03, 04:30",(United Kingdom) S&P Global Manufacturing PMI,49.6,49.7,BULL,0,2,7,4,0,0
