timestamp,event_key,currency,date,event,forecast,actual,affect,retry_count,nid,nid_affect,nid_affect_executed,nid_tp,nid_sl
2025-11-14 12:41:56,EUR_2025-11-14_05:00_0397d3,EUR,"2025, November 14, 05:00",(Euro Area) Employment Change QoQ,0.1,0.1,NEUTRAL,0,1,0,0,0,0
2025-11-14 12:41:56,EUR_2025-11-14_05:00_d50484,EUR,"2025, November 14, 05:00",(Euro Area) Employment Change YoY,0.4,0.6,BULL,0,2,1,1,0,0
2025-11-14 12:41:56,USD_2025-11-14_08:30_929d0c,USD,"2025, November 14, 08:30",(United States) Retail Sales MoM,,,,34,,0,0,0,0
2025-11-14 12:41:56,USD_2025-11-14_08:30_f47e1b,USD,"2025, November 14, 08:30",(United States) Retail Sales Ex Autos MoM,,,,0,,0,0,0,0
2025-11-14 12:41:56,USD_2025-11-14_08:30_f3b346,USD,"2025, November 14, 08:30",(United States) Retail Sales YoY,,,,0,,0,0,0,0
2025-11-14 12:41:56,USD_2025-11-14_08:30_d16954,USD,"2025, November 14, 08:30",(United States) Retail Sales Ex Gas/Autos MoM,,,,0,,0,0,0,0
2025-11-14 12:41:56,USD_2025-11-14_08:30_583d16,USD,"2025, November 14, 08:30",(United States) Retail Sales Control Group MoM,,,,0,,0,0,0,0
2025-11-14 12:41:56,USD_2025-11-14_08:30_fb64ee,USD,"2025, November 14, 08:30",(United States) PPI MoM,,,,0,,0,0,0,0
